,"ENG"
"aae7719.0014.001.umich.edu","ENG"
"aae7719.0014.002.umich.edu","ENG"
"aae7719.0014.003.umich.edu","ENG"
"aae7719.0014.005.umich.edu","ENG"
"aae7719.0014.006.umich.edu","ENG"
"aae7719.0014.007.umich.edu","ENG"
"aae7719.0014.009.umich.edu","ENG"
"aae7719.0014.010.umich.edu","ENG"
"aae7719.0014.011.umich.edu","ENG"
"aae7719.0014.012.umich.edu","ENG"
"aaf5135.0001.001.umich.edu","ENG"
"aag1286.0004.001.umich.edu","ENG"
"aag1286.0005.001.umich.edu","ENG"
"aag1286.0006.001.umich.edu","ENG"
"aag1286.0008.001.umich.edu","ENG"
"aag1286.0009.001.umich.edu","ENG"
"aag1286.0010.001.umich.edu","ENG"
"aag1286.0011.001.umich.edu","ENG"
"aanhangselvanhet1791stol","DUT"
"aanteekeningenov00schm","DUT"
"aanteekeningenov1845hass","DUT"
"AB1CA27F-F14F-472A-B97B-7D0BBFC21D38","ENG"
"AB2878FB-37A7-4F60-85BD-A8098061EFC2","ENG"
"abacmanilahemp00edwarich","ENG"
"abbeyimbriecente00abbe","ENG"
"abbildungenderin00ml","GER"
"abbildungenderwa15wolf","GER"
"abbildungenhervo00prei","GER"
"abbildungenundbe00heck","GER"
"abbildungenundbe11phil","GER"
"abbildungenundbe12phil","GER"
"abbildungenundbe13phil","GER"
"AbbildungenvonV1Meye","GER"
"AbbildungenvonV2Meye","GER"
"abbildungenzukar00stur","GER"
"abbildungenzukar01stur","GER"
"AbbildungenzurN00Wied","GER"
"abbildungundbesc00hepp","GER"
"abbottbiology00abborich","ENG"
"abcbuttermakingh00burc","ENG"
"abcinbuttermakin00monr","ENG"
"abcinbuttermakin00monrrich","ENG"
"abcofbeecultur00root","ENG"
"abcofbeeculture00root","ENG"
"abcofbeeculturec00root","ENG"
"abcofcornculture00hold","ENG"
